mggid	ship	cruise	sample	device_code	device	year	month	day	time	latdeg	latmin	latminhun	ns	londeg	lonmin	lonminhun	lonew	latlon_orig	lat	lon	water_depth	core_length	device2	comments
09265004	Lynch	COGARD	CG-1	502	core, piston, ewing	1969	03	31		31	15	80	N	073	24	50	W	m	31.2633	-73.4083	5048	358	EWING PISTON		
09265004	Lynch	COGARD	CG-20	502	core, piston, ewing	1969	04	23		38	32	30	N	066	42	80	W	m	38.5383	-66.7133	4444	174	EWING PISTON		
09785012	Wilkes	330383	WF8321	406	core, gravity, ewing	1983	05	28		06	00	30	S	027	19	30	W	m	-6.005	-27.3217	5647	393	MEG		
09785007	Wilkes	343921	32-6	406	core, gravity, ewing	1979	11	20		02	23	50	N	052	23	10	E	m	2.3917	52.385	5087	451	EWING GRAV CORE		
09775002	Hayes	72016	ALPHAE	104	grab, shipek	1972	05	11	11	22	02	00	N	087	33	00	W	m	22.0333	-87.55	33		SHIPEK GRAB		
09775002	Hayes	72016	ALPW7.9	406	core, gravity, ewing	1972	05	11		22	03	00	N	087	48	00	W	m	22.05	-87.8	33	39	EWING GRAV CORE		
09785007	Wilkes	343921	32-2	406	core, gravity, ewing	1979	11	16		01	35	20	N	057	16	80	E	m	1.5867	57.28	4550	540	EWING GRAV CORE		
09685001	Luiseno	H.016547	YR22-1	100	grab, undifferentiated	1956	10	24		37	14	60	N	076	23	00	W	m	37.2433	-76.3833	22		GRAB SAMPLE		
20995002	Multiple	ANC69	113	100	grab, undifferentiated	1969	06	05		62	48	70	N	166	31	00	W	m	62.8117	-166.5167	24				
20995002	Multiple	ANC69	122	100	grab, undifferentiated	1969	06	05		64	22	50	N	165	44	80	W	m	64.375	-165.7467	27				
20995002	Thomas G. Thompson	TT020	071_214	500	core, piston undiff.	1967	08	22		68	52	00	N	170	49	00	W	m	68.8667	-170.8167	56	405			
20995002	Thomas G. Thompson	TT020	068_202	500	core, piston undiff.	1967	08	21		69	41	00	N	170	15	00	W	m	69.6833	-170.25	53	396			
20995002	Thomas G. Thompson	TT020	058_166	400	core, gravity undiff.	1967	08	20		69	19	00	N	167	39	00	W	m	69.3167	-167.65	50	85			
20995002	Thomas G. Thompson	TT020	065_189	100	grab, undifferentiated	1967	08	21		70	03	00	N	169	46	50	W	m	70.05	-169.775	38	0			
20995002	Thomas G. Thompson	TT020	056_158	400	core, gravity undiff.	1967	08	20		68	52	00	N	168	15	00	W	m	68.8667	-168.25	51	118			
20995002	Thomas G. Thompson	TT020	041_114	400	core, gravity undiff.	1967	08	19		67	59	50	N	166	58	50	W	m	67.9917	-166.975	57	32			
41995002	Multiple	unknown	JG-22	0	unknown	1976				56	06	28	N	170	33	41	W	m	56.1047	-170.5568	400				
41995002	Multiple	unknown	80-1763	0	unknown	1980				70	35	00	N	150	17	00	W	m	70.5833	-150.2833	9				
41995001	Multiple	RU529OCS	40SL_A	100	grab, undifferentiated	1977	08	14		70	33	40	N	149	30	60	W	m	70.5567	-149.51	1		GRAB SAMPLE		
41995002	Multiple	unknown	80-1273	0	unknown	1980				71	29	00	N	155	06	00	W	m	71.4833	-155.1	35				
41995001	Multiple	RU529OCS	31SL_A	100	grab, undifferentiated	1977	08	14		70	32	50	N	149	26	90	W	m	70.5417	-149.4483	2		GRAB SAMPLE		
41995001	Multiple	RU529OCS	32SL_D	100	grab, undifferentiated	1977	08	14		70	32	00	N	149	27	20	W	m	70.5333	-149.4533	2		GRAB SAMPLE		
23055001	T-Kip IV	II-A	01PS05X	107	grab, smith-mcintyre	1978	08	25	1517	29	07	47	N	089	41	32	W	m	29.1245	-89.6887	16	5	SMITH-MCINTYRE		
23055001	T-Kip IV	II-A	01PS206	107	grab, smith-mcintyre	1978	08	25	1525	29	06	62	N	089	41	42	W	m	29.1103	-89.6903	16	5	SMITH-MCINTYRE		
